name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
OU Campus,0043-04-09 00:00:00.68-04:56:02,07:39.7,0106000020E61000000100000001030000000100000006000000000000AA90A25340D92E80541F683140000000F68FA253400460D29AE16731400000005AA4A2534037193636D867314000000092A8A25340CAEEF905EF6731400000002AA7A2534054A0FCFC1D683140000000AA90A25340D92E80541F683140,2,6,2141,525,519,186,198,165,2,160,2121,20,2,16,1,502,1,3,8,478,39,3570,3423,28997,0,1,1,523,101,
Nehru Nagar,0044-02-14 00:00:00.68-04:56:02,07:44.5,0106000020E61000000100000001030000000100000008000000B735966E5AA25340AAB2F7FB2866314049B7EBC677A25340EE9F7E8251663140D263E7AF88A253407B04698CF7653140716605D079A25340C1ED9E76D7653140564597BB7FA25340B78CC49999653140AA01D6EC79A2534035C1E4047565314050CE486B69A25340EB389FB61D653140B735966E5AA25340AAB2F7FB28663140,2,7,822,190,170,17,21,35,4,130,758,64,66,0,0,0,124,0,125,65,0,5756,6204,67558,12,7,6,165,18,
Rajeev Nagar,0049-09-08 00:00:00.68-04:56:02,07:58.9,0106000020E6100000010000000103000000010000000D000000280805427EA4534032401ED16F753140F8FB835077A45340FB260B67D0753140D0B3D3AA72A453409F3F0F06F975314078B5FDA772A453406FF4311F1076314078C47CD47AA45340E3AC467E16763140E0D47A9E83A453408B33A7472A763140E8A77A2A8EA45340413EF04AF5753140B86B003E91A45340F0C74851C2753140186604C88EA4534055979D8F7C7531405066FF138EA45340AE81AD122C75314070A302068DA45340F55DD750E6743140505B027488A453400A4A8FAEEB743140280805427EA4534032401ED16F753140,1,3,1405,306,303,26,11,253,2,40,1399,6,238,1,0,0,67,0,73,201,32,5442,5383,9837,2,0,0,304,50,
Bakshiguda,0009-07-12 00:00:00.68-04:56:02,08:08.9,0106000020E6100000010000000103000000010000000A0000000000009E5EA453404B03ECFC8B753140000000C267A4534015FEBAC49E753140000000BF6AA45340AAF8B844837531400000003270A45340B2A1E86360753140000000D068A45340FF233E065B753140000000E463A4534010B83DED4A753140000000C05AA453402F83858C7A7531400000003153A453406C32DAC7A07531400000000156A45340018A18CEA47531400000009E5EA453404B03ECFC8B753140,1,3,1262,312,280,25,84,65,13,150,1089,173,186,4,0,1,118,3,203,99,10,4493,4457,69333,5,11,9,287,17,
New Narasimha Nagar,0011-01-06 00:00:00.68-04:56:02,08:14.4,0106000020E6100000010000000103000000010000000E00000000289BA56BA453407C0574097B723140E09C40DE65A45340AB443E606E723140D8D4DD4360A45340050E305884723140107C84A153A45340C60060B2A2723140C0FEE40355A45340ACB8368EF8723140F818BCCC59A45340BFE49999F57231403033D3E960A45340AC890C21F0723140B06781896BA45340C2AFAB34E872314060EAC1376EA45340A17F5CABD4723140C02B621E6FA4534054782F61C7723140704C72FF6EA45340F502EE5FBC723140186DE2DA6EA45340082AFEBDB7723140B0AA7B6A6CA453401EF584CE8B72314000289BA56BA453407C0574097B723140,1,3,1820,458,381,99,144,50,43,221,1808,12,99,71,7,2,279,0,137,300,21,3132,3167,65701,15,23,25,395,110,
NTR Nagar,0012-01-08 00:00:00.68-04:56:02,08:21.2,0106000020E6100000010000000103000000010000000A000000D008FC0236A4534035FEAF00C7723140804802E436A45340252A0AAAFC723140283BFDA02EA45340202F9C52FB7231402038041A2EA453406C6F22C00A733140809EFD5042A453406FE40D720F7331401087018559A453406674B468097331405087FCD058A453400B43E4F4F5723140B8DF3EFE54A45340BC6388CEF8723140C080072054A453408FCC1F56C0723140D008FC0236A4534035FEAF00C7723140,1,3,1240,300,290,25,31,49,11,209,1190,50,146,1,2,1,149,1,149,122,29,3484,3408,45677,5,3,5,287,38,
Lingamaiah Nagar,0019-12-06 00:00:00.68-04:56:02,08:36.0,0106000020E61000000100000001030000000100000004000000A9DEF9C941A45340E5A8509B407131402B1601463EA45340D332EFC4EE703140DA04F78756A45340E32339CBF2703140A9DEF9C941A45340E5A8509B40713140,1,4,320,62,60,27,30,7,1,24,252,68,2,5,29,1,21,4,14,40,8,5537,6040,38145,2,3,1,56,14,
Mallapur BC Area,0024-02-03 00:00:00.68-04:56:02,08:49.9,0106000020E6100000010000000103000000010000000A000000000000B880A45340A22A1D7B3B723140000000B286A453408AEDDAD977723140000000B493A45340843F3ACD6F723140000000368AA453407B7287BEF97131400000003C84A453406EFFBCB0BA713140000000E076A4534095915DE3DA7131400000008676A45340235158F6E6713140000000166EA453402033E1B1F1713140000000C474A4534085B08DD23C723140000000B880A45340A22A1D7B3B723140,1,3,937,215,204,51,55,14,2,144,934,3,133,0,0,0,82,0,159,48,8,4494,4560,11349,3,4,0,208,39,
Mallapur SC Area,0024-11-06 00:00:00.68-04:56:02,08:58.5,0106000020E6100000010000000103000000010000000D000000C8110056A6A453403B46C373007231403022FE1FAFA45340F975960FF771314050A2FBC5AEA453402A1B397FD17131400012FBA1A5A4534067F0F78BD9713140C049FD69A1A45340C26D0AB7BE713140582E020093A453403411152ED4713140D0233BE789A453405C0E3DA4F6713140E0AB7CDE8EA453401B230CCF33723140F06FBD4092A45340F98E65355D723140F0339EB993A453400C91CDB76F723140285AFB33AAA4534028B1EFB35F723140C8110056A6A453403A74FE1632723140C8110056A6A453403B46C37300723140,1,3,1362,345,330,13,39,42,9,255,1063,299,187,1,0,2,154,1,124,189,32,4664,4784,7136,13,6,7,319,8,
Subash Nagar,0027-07-14 00:00:00.68-04:56:02,57:10.5,0106000020E6100000010000000103000000010000001C0000000E30353ACEA45340FD998B097B7231401C0105ACCFA45340405732328E723140423DBF20D0A45340D88173469472314088AC4576EBA453406595EBD05D723140521396DBEAA4534018FEDB7E5C7231405BF42586EAA45340318E995D5A7231405EE7CF4CEAA4534050990FC6577231407FB69B01EAA45340F48236D6517231406E0AD8CCE9A453406EFDD3914C7231407110427AE9A453408F1260FD44723140ECDCB419E7A4534017E268F9477231403991681BE2A453407927FAD74D723140E83CB6A7DCA453400B57CD9452723140AA25800FDCA45340C4BA2B9A52723140FCB317B8D9A453409B91FFD15072314019CED2A1D5A45340919B23234E723140BD955FE5D4A4534008603DCD4D723140C425C79DD2A4534056BB05964C72314021C6CE88D0A453408623A35E4B723140CD46DF8BCCA45340E6F537D34A72314083B153E6C5A45340752E7BC84A723140591B9DD2C5A4534066AC4F9C5072314047936A23C7A45340ACE694DB51723140059A5B63C8A4534023092DB1537231404234E302CAA453400E6A5C8B587231406B920654CBA453406AA07DD55F72314023577FBECCA45340FFB4CD646A7231400E30353ACEA45340FD998B097B723140,1,3,459,113,113,0,7,40,2,64,335,124,83,0,0,0,30,0,66,47,0,4076,3783,44115,2,4,1,106,16,
