name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Gopi Nagar,0029-12-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000110000003B4C035887945340BCE2B1B8627A3140F8D1FC738994534016B98E0E9B7A314002A5FCFF9394534016B98E0E9B7A31400B2A0538989453408C932D58CB7A31404A35FD239D94534027790138EE7A3140F5C30070C9945340708F6B64D37A31408327FC6BDC94534027790138EE7A3140C9ACFFEFDF945340C49BB13FBB7A31403B97FB47D3945340FAB4CC1AA37A31407A06058CCB94534068D66BDD7A7A3140E833FB97BF94534084DA2DD1727A3140A66BFD5FBB945340D8E673AC5A7A31405AD0FF9BAC9453405FCFF83A807A314090BA00A8A094534072CC478C7D7A31400B2A053898945340A0DEEFC46A7A3140C39904148F945340E0EDE64E557A31403B4C035887945340BCE2B1B8627A3140,11,112,5082,1190,1119,301,243,161,38,748,4731,351,111,99,146,12,428,394,62,989,139,4087,3582,31959,16,21,16,1137,180,
Surabhi Colony,0028-10-01 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000EFFBFD83C4945340400812256B7C31407749FF3FCC945340D5155C410D7C31408327FC6BDC9453406E0CC714287C3140415FFE33D8945340B2078300537C3140DC52FF07F5945340100AA58A3D7C31409D95FE6FF69453406610A310967C31408327FC6BDC9453405D09306E9B7C3140EFFBFD83C4945340400812256B7C3140,11,112,521,126,126,1,4,2,0,120,471,50,94,10,0,1,21,0,31,94,1,5378,4821,38278,5,2,2,117,28,
Papireddy Nagar Slum,0030-12-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A0000001E1BFD3FF99453408C0A41B3907C31405DD8FDD7F7945340A6144BFC177C31403B460590129553403F0BB6CF327C3140B6030174109553409E0DD8591D7C3140388600E058955340201ED324C27B31400559052064955340A711A751507C31404159006C639553405C1723B7CB7C3140D944030435955340D70F14EC7D7C3140743B033C0C955340EB0C633D7B7C31401E1BFD3FF99453408C0A41B3907C3140,11,112,3500,852,693,55,160,145,34,513,3197,303,60,110,6,8,370,298,117,700,35,4279,3610,15743,15,30,38,769,186,
Prem Nagar,0032-07-15 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000C01DFBF7D59653408C92C4934A7A314010ABFC631E975340309AC31AA37A3140485D005410975340EE30FD7D8C7B314060DFFC235F965340EE30FD7D8C7B314060DFFC5B63965340C107C5D5AD7A3140C0070150C9965340331E94C9A57A3140C01DFBF7D59653408C92C4934A7A3140,11,112,9699,2399,2251,1402,829,285,75,1210,8325,1374,56,132,1722,5,466,18,69,1337,993,4478,4301,14368,65,156,141,2037,495,
Aditya Nagar,0035-05-08 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000090000008A25FE8B149753401D320EC3817B3140D97D019C2297534004ABA8C9A57A3140777CFF0F459753409F907CA9C87A31402FE9FF878197534043CB3647887A314062C50490B5975340A0DEEFC46A7A31401983FBBFB2975340258A982BE67A3140D0F2FA9BA9975340A03F65E35E7B3140845AFC3B559753405D41054D6C7B31408A25FE8B149753401D320EC3817B3140,12,113,7682,1663,790,1313,229,132,8,1294,7073,609,124,559,112,1,855,12,919,584,160,4335,4290,14521,94,162,99,1308,246,
Gopalreddy Nagar,0033-06-02 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000F339FBF342975340E9ECA68C66793140EC2301B437975340E7FD3D805E7931403F8701644B975340EBE14F7DB57831408EDF047459975340DEFC0AC2AA783140F339FBF342975340E9ECA68C66793140,11,112,840,213,108,52,61,28,11,113,741,99,61,4,0,0,144,4,93,118,2,6678,6453,14014,12,13,26,162,12,15
Raghavendra Colony,0036-09-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000A185048C6E975340712C7B54F4773140CDEAFC5F5E9753403265B7016578314032F7FB8B419753403AC8900832783140A7530540E8965340359FEF7E47783140689604A8E99653407C25F33C76773140D6C0FB4F239753406E514575637731409703FBB7249753406EF5DE1091773140777CFF0F459753405F7AFB73D1773140A185048C6E975340712C7B54F4773140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ananda Nagar,0036-04-08 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000080000009703FBB7249753407040AE816B773140E0450488279753406B170DF880773140B73900A8439753408003C555867731407E4402FC4997534075694F0B567731402824FCFF369753405FD9FD1123773140D6C0FB4F239753404ECB17CD2D7731405B03006C25975340718B7DF2457731409703FBB7249753407040AE816B773140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Kothaguda,0039-06-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A000000A490012C7497534016DA5ADBEB7531404E70FB2F619753401AB82CF4FB7531404E70FB2F61975340D33761A9CB753140099D005857975340C94185FAC8753140454F0450509753402C22712C7B753140F02EFE533D9753405F6E4100BA7431407E4402FC4997534029B18C89A4743140CDEAFC5F5E9753407A16A50028753140E04205246D9753403529E4CE75753140A490012C7497534016DA5ADBEB753140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sri Ram Nagar,0037-08-03 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000080000007E4A00C4BE965340B2666490BB7531401F54FBD7E6965340C0824D007276314002DBFB33C796534016C62F1FBD7631407782FDD7B9965340C0824D00727631400F6E00708B965340FA1DD48F977631408DE801A088965340C271B60C7A763140FFD2FDF77B96534084F85D64447631407E4A00C4BE965340B2666490BB753140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Anjaiah Nagar,0039-10-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000FCBE032C47975340078E1546C4723140CDEAFC5F5E97534095EA0ACFAE723140193803D066975340BE0D5ADD2473314071B1FDBF8597534002B04B9EFC723140F9FEFE7B8D975340C2257455A873314097B2040064975340757C0FF2D5733140BA44FD4749975340D422CB17EE733140FCBE032C47975340078E1546C4723140,11,112,3748,869,864,183,116,102,74,577,2742,1006,44,8,0,294,468,55,121,714,34,6037,5375,64166,19,47,73,730,86,
Gachibowli 1,0041-12-15 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000600000032F7FB8B41975340473767E9AF7131400CA8FDF75C975340EA7F14D09F7131408E2DFCC75F97534003E04C0AFB713140C00C00344E975340A951A3EB1D723140B73900A84397534022C2E0160372314032F7FB8B41975340473767E9AF713140,11,112,1113,242,239,10,4,23,19,196,740,373,82,12,2,107,35,4,12,219,11,6713,5587,40661,1,5,7,229,118,
Chinna Anjaiah Nagar,0040-01-03 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000001F030520269753403485EF79D5713140AAA9FACF3997534060979F230B723140F6F60040429753400A329FFF60723140A79EFD2F349753407CD5A9767672314029D604AC3097534059CA6C6F3B723140A18803F02897534075835781107231401F030520269753403485EF79D5713140,11,112,901,198,192,82,19,23,27,129,614,287,30,3,2,78,26,59,18,178,2,5495,5207,43172,1,8,19,170,5,
Gachibowli 2,0041-10-13 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000D6C0FB4F239753405E5D5F35E071314097B503641E9753406F206E98B27131401C46FFD3269753401B25B73F7A713140E65BFEC7329753402ED72EAF5471314032A904383B97534018CC046800723140D6C0FB4F239753405E5D5F35E0713140,11,112,1018,239,227,45,51,87,8,93,741,277,77,1,0,45,115,1,66,166,7,5237,5871,40810,9,6,17,207,22,
Vithal Rao Nagar,0042-04-01 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000D90AF54F8B985340A981ACC864713140ED62FD139A98534061B6110D5A71314035F3FD37A3985340B5B1C86592713140C761F6D3BB985340BE6D64266A7131409177F5C7C7985340BE6D64266A71314042D1FA63B3985340BB14B24EF0713140B72A05B49F985340CCD7C0B1C27131406158F60B93985340D0006AACF5713140D90AF54F8B985340A981ACC864713140,11,112,643,151,149,22,45,9,2,95,623,20,17,2,0,5,125,2,14,137,0,3264,6398,0,3,2,2,144,20,
Kummari Basti Madhapur,0046-01-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000E38CFE23D5985340CFE59BA719713140DAB9FE97CA985340B0B830B9EE7031406512FDF3D79853405301DE9FDE703140291202A8D89853408595E91BC170314078B8FC0BED985340EB08D8F5A87031403FC3FE5FF39853408595E91BC170314003C30314F4985340E2971317F4703140F01C04FCDE985340BAAE0C68F1703140E38CFE23D5985340CFE59BA719713140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Mastan Nagar,0046-05-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000600000075AA00082D9953406DBF8423AB6E3140854503803C9953404332EC49C36E314006CB01503F995340A39BB3F4576E31402F25FD83299953409CEDFA9A1F6E314036EDFF6F2E9953401E46310E686E314075AA00082D9953406DBF8423AB6E3140,11,112,1824,463,328,65,86,98,47,232,1528,296,150,4,1,0,305,3,265,171,27,8196,7473,8035,19,21,20,403,49,
Nanakramguda,0047-02-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000A0DFF76F5E9653409B94BC19B96B314067EAF9C364965340978985CE296C31408A2BFC5389965340ADED7940D16B31404E2B01088A9653408A3BFFF2A06B314094FEFBDF93965340CD474A617B6B314094FEFBDF93965340A062075B0D6B31408158FCC77E965340AE28CA4A386B314002DEFA9781965340E76A8E20536B3140282DF92B66965340F9C34B476B6B31406EB2FCAF69965340ABC1242A8E6B3140A0DFF76F5E9653409B94BC19B96B3140,11,111,2178,514,510,33,13,77,12,412,1467,711,303,2,2,54,131,22,139,326,49,4484,4395,78050,63,10,20,421,61,
Keshav Nagar,0048-09-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000FC8B035CCE945340D314014EEF6D31407D11022CD1945340E1707201606E3140CF7402DCE4945340E1707201606E314090B70144E6945340A7E3D649226E3140D9470268EF9453409CEDFA9A1F6E314047270120DD94534097E3D36BCC6D314018050300EE9453403EBF7B89A96D3140977F0430EB945340F13491806E6D314002A2FD9BD99453400D842A56896D3140FBD9FAAFD49453403EBF7B89A96D3140FC8B035CCE945340D314014EEF6D3140,11,111,1026,225,221,0,24,0,0,201,524,502,104,5,2,70,2,42,43,77,105,5636,4393,27991,3,0,1,221,203,
Keshav Nagar,0050-07-11 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000000B75FD27E494534062C9A874A86E3140977F0430EB945340DC664BD20C6E314022D8028CF894534076A88516026E3140A668FEFB00955340686A8612356E3140DF5DFCA7FA94534025F4E967A06E31400B75FD27E494534062C9A874A86E3140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gopanpally Thanda,0052-05-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000A42503FE78935340C10E108AB5723140FE57049C7193534075FD27243E7231402C7304BA80935340F86341FE257231404736FC138193534075FD27243E723140364604468B9353408FE44DD9447231405009FC9F8B9353400E50F95B2B7231403F1904D29593534086C0368710723140452FFE11A19353408AE9DF81437231404F02FE9DAB9353402C60C80B65723140A31E05FC9893534028BC3E52C8723140A42503FE78935340C10E108AB5723140,11,111,895,210,209,6,7,8,58,137,643,252,18,1,0,40,35,116,47,98,65,5286,5184,0,10,13,4,183,11,
Rajiv Nagar,0050-08-07 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000080000000D370102ED935340988D8CDD57733140A369FDEBE493534065CB4D2F8C7331403386FF95D193534032090F81C07331403F64FCC1E193534052EBA28DC87331408BB10232EA93534052EBA28DC8733140EE04FBAFF39353404BE4277A85733140520AFCD9F6935340012A24B2727331400D370102ED935340988D8CDD57733140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Gopanpalle Weaker Section Colony,0052-03-12 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000002BB7FEA7EC93534092921E86567331406B7BFD41CB93534004FCE09DF8723140DA5AFCF9B8935340EF2CCDEF2C7331409996FD5FDA9353409D88FA3459733140FA9001EAD7935340D462535BA8733140A369FDEBE493534050DF95D1867331402BB7FEA7EC93534092921E8656733140,11,111,721,181,177,15,4,8,2,167,446,275,45,3,2,111,8,12,35,144,2,4150,3710,110,13,42,10,116,15,
Gopanpalle,0050-11-01 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000044280010C19353408CB45C4FD7733140411D0370BB935340D95DC1B2A9733140917C0482A99353400625920974733140D087FC6DAE935340AD79443B5D7331408CDDFC8EBA9353401E20F35C3A733140DE40FD3ECE9353409338E98554733140EBD00217D8935340DF786FF363733140668EFEFAD5935340F4EAB167AE73314044280010C19353408CB45C4FD7733140,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Raidurga Village,0055-06-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000039FBFB73EE985340828CC226196A3140428004ACF2985340057B9FEC5E6A31408853FF83FC985340057B9FEC5E6A314013ACFDDF09995340564DAD4A646A31405574FB170E995340B1D8AA4D316A3140E794FC5F209953405D36B6AE036A31405FF9035012995340618CC4DBB56931407B750258EC9853405A66CF6DDB69314039FBFB73EE985340828CC226196A3140,11,111,4988,1158,1150,313,68,251,13,826,4202,786,147,296,6,72,619,18,466,647,45,4408,4172,59333,8,26,49,1075,130,
Vemulkunta,0012-06-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C000000540BFC136294534022739FFBF67E3140D94D0030649453403DEC093B5A7F314060E9F83F72945340CAFD2F536A7F3140212CF8A773945340523F779B9A7F314034D2F7BF88945340FF243E77827F3140B34CF9EF8594534037C60C5C377F3140C6A401B494945340DBA46095247F3140C2E7FB6795945340CF5866D7DE7E3140A979F9637B9453406F67DB40EC7E31408EB6010A7B94534076834F10C87E3140462601E671945340638600BFCA7E3140540BFC136294534022739FFBF67E3140,12,114,2818,638,394,253,287,109,15,227,2157,661,248,88,0,54,240,8,262,323,53,3794,4716,60259,50,30,30,528,440,
Muzafar Ahmed Nagar,0014-11-07 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000004E31FFCFFE955340FCAA7DB6E57F3140481B0590F3955340A9B4CDA686803140BD0DFF233296534060F72534AC803140059EFF473B9653403FFFFB5B1B803140A094FF7F12965340D1E000440B803140A094FF7F12965340D5B0DF13EB7F31404E31FFCFFE955340FCAA7DB6E57F3140,12,114,3575,868,851,17,130,192,31,515,3416,159,7,414,9,429,1,8,60,484,324,4372,4605,7414,7,0,0,861,448,
Chandra Naik Tanda,0023-04-14 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000001F3F021CCE9853407F72EBA0D873314026070508D3985340E70E8BE63B743140F327019CE4985340BD361B2B3174314032E50134E398534052AB1A4A0E743140583101640D9953409E54871E29743140A88904741B99534020CC2F7BC07331401F3F021CCE9853407F72EBA0D8733140,12,113,899,187,187,6,12,9,72,94,899,0,84,0,0,0,99,4,49,136,2,5433,5653,93717,15,5,4,163,2,
Nav Bharat Nagar,0023-06-11 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000040000003FB702D0099A534001EA9B6EB8733140D125FB6B229A53401DDDCEDF00743140DDB8FFA7E6995340935EAB6F267431403FB702D0099A534001EA9B6EB8733140,14,119,714,148,138,100,101,13,4,30,669,45,57,2,2,0,87,0,27,121,0,5649,5105,35696,3,4,4,137,8,
Prakash Nagar,0055-01-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000800000072DB0064CF9A5340FAB7EC8CC67D3140F71D0580D19A53400FCF3372ED7D3140DCA8047AD79A5340A1DBC7E1FE7D314001F1040CDC9A53405CC36FB7E27D3140FD33FFBFDC9A5340C5BB6DF0CF7D3140B8AEFB3BD99A53405AA97723B97D314079A30350D49A5340A2A24511AD7D314072DB0064CF9A5340FAB7EC8CC67D3140,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Hairjanwada, Prakash Nagar",0056-03-03 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000DCF6FBCDDD9A534045843DF5617D314040FCFCF7E09A5340D69EC4ADA37D31402E0C052AEB9A53406DA6C674B67D3140B09103FAED9A5340FD8A6F076E7D3140DCF6FBCDDD9A534045843DF5617D3140,14,122,635,147,131,12,25,67,1,54,580,55,23,40,0,38,45,1,24,117,6,4814,4699,37735,6,6,11,124,23,
Chakali and Kummari Basti,0058-12-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000D226FBA58D9A5340EE30FD7D8C7B3140D9EEFD91929A53404369986FB77B3140AEDEFA13899A5340105C82DFC87B3140B4A6FDFF8D9A534038537CD7FB7B3140A6C102D29D9A534062591FC5EF7B31405E3102AE949A5340537A225F747B3140D226FBA58D9A5340EE30FD7D8C7B3140,14,122,729,177,149,3,52,8,0,117,627,102,27,0,0,44,105,1,149,28,0,5540,6528,30028,50,7,26,94,6,
Kommanigadda,0035-11-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000004FE8F527B19A5340C05B414FDA7B31402E5DFBE1AB9A5340D9733EE1917B31407330F6B9B59A534016773020837B3140DAF2FC2FB89A5340A16BBAF9A17B3140BCC0F6DDBE9A5340B468094B9F7B3140DDFDF9CFBD9A5340F863C536CA7B31404FE8F527B19A5340C05B414FDA7B3140,14,122,474,116,91,4,38,31,0,47,409,65,35,0,0,0,80,1,113,3,0,5961,7763,33750,26,5,12,73,11,
Dayarguda,0038-03-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B0000003473F521B79A53402479111A7F7B3140D735F7E3B89A5340BD6F7CED997B314080C0FB91BF9A5340CB715DE7957B31407D03F645C09A5340315BB22AC27B31409A2EFE95D99A534069633612B27B3140B4A3FE9BD39A5340E7751FDB8D7B31400B19FAEDCC9A5340C865589C9C7B3140E008F76FC39A534099848740607B31401AB0FDC7B69A5340BEAFFCBF0B7B31406D1AFC79AA9A5340419D13F72F7B31403473F521B79A53402479111A7F7B3140,14,122,2072,513,510,6,152,197,26,138,1683,389,143,58,7,27,251,27,251,205,57,5511,6221,47101,18,12,42,441,19,
Vivekananda Nagar Weaker Section,0023-09-08 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000000DD5FFFF609A5340105C82DFC87B31401E77007A509A5340BEAFFCBF0B7B314038E5027E6A9A534037C77731E67A3140E1BDFE7F779A5340E7751FDB8D7B3140B6ADFB016E9A53405666E7C0B47B31400DD5FFFF609A5340105C82DFC87B3140,14,118,1723,387,323,45,46,102,6,233,1473,250,210,29,5,1,137,5,290,77,20,5059,5050,49919,13,6,16,352,199,
Habeeb Nagar,0048-10-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A000000264003A0C09A5340C204666C8579314041B503A6BA9A5340F93A1D865E7931402383FD53C19A53400D386CD75B79314080C0FB91BF9A53405E837CD824793140B19801FCCD9A53407091621D1A793140CF18FFA1CD9A5340104471225579314039E602B8D59A5340215257674A79314001F1040CDC9A5340C91C700278793140CF18FFA1CD9A5340B9FDF2C98A793140264003A0C09A5340C204666C85793140,14,118,2658,599,595,374,142,23,10,424,2427,231,39,138,1,0,421,0,301,290,8,5002,3716,43511,22,27,20,530,59,
"Sevalal Nagar, Lambadi basti",0050-08-10 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000B1A1FE27FD99534033B086723F783140301C0058FA9953405E2F2C03F777314007C20424109A5340712C7B54F47731400DD8FE631B9A5340489C3ED0447831403CFAFC830A9A5340359FEF7E47783140B1A1FE27FD99534033B086723F783140,14,118,698,171,171,3,9,22,114,26,698,0,161,0,0,0,10,0,169,2,0,4311,4001,14520,3,1,0,167,168,
Rajiv Gandhi Nagar Allapur,0050-01-03 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000FA31FF4B069A534018B5982BC576314072E4FD8FFE995340A7B8C3895C763140E4CBFA83379A534084F85D64447631405973FC272A9A534021BC0BCEBF763140FA31FF4B069A534018B5982BC5763140,14,118,2860,677,490,232,365,90,4,218,2456,404,68,124,2,1,398,84,483,193,1,4529,4235,49220,29,28,49,571,239,
Parvath Nagar,0052-09-15 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000009BF6FF37579953408FA6FE6AA3753140ED5900E86A9953404EF36D458B7531406817FCCB68995340943C8D6AC77431407B7203F431995340D7DE869CE77431409BF6FF37579953408FA6FE6AA3753140,14,119,2876,720,720,53,103,120,19,478,2716,160,187,9,27,60,435,2,406,245,69,4333,3761,383,25,3,35,657,82,
Tulsi Nagar,0050-10-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000600000036EA000C74995340C0036632DA74314003BD054C7F995340A5EE14BC32753140562006FC929953404E4FCC3815753140109B02788F995340DD18AF3739743140F72C00747599534048A4AF185C74314036EA000C74995340C0036632DA743140,14,119,1240,327,326,9,38,27,11,251,1240,0,6,73,5,9,234,0,210,109,8,4980,5573,265201,9,16,11,291,7,
Kothuri Seetaiah Nagar,0051-05-02 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000600000087430456ED995340CA788CD92F743140F51F04AA209A534051EBAAFE107431403BF3FE812A9A5340F62ED61E93743140DFBCFE450C9A5340819C6A0CBE7431406249FB17EF995340F13368C79174314087430456ED995340CA788CD92F743140,14,119,1114,246,246,92,21,30,0,195,1114,0,2,12,67,0,165,0,17,228,1,4240,3987,203,0,2,0,244,67,
Kabeer Nagar,0053-07-05 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000009DEB03E2D89A5340E95A20E63774314072DB0064CF9A53401116FCD39974314071D40262EF9A534045E4473EA7743140EF9CFBE5F29A5340F450FC943A7431409DEB03E2D89A5340E95A20E637743140,14,119,2278,554,443,48,132,67,10,345,2160,118,194,16,0,0,254,90,230,306,18,3364,5377,81020,21,18,25,490,166,
Hari Nagar,0056-01-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000500000010DDFD3BAC9A53404ADFB595A87431402E0F048EA59A53407FBE908265743140C950FCB5C89A53402A0EB10B507431408A4504CAC39A5340F13368C79174314010DDFD3BAC9A53404ADFB595A8743140,14,119,478,123,101,10,20,56,9,38,390,88,9,48,11,0,49,6,46,53,24,3760,4134,19232,28,15,5,75,20,
Shivaji Nagar,0053-11-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000ED4D0458819A5340AB85694A78743140F15801F8869A534071AB2006BA743140DEB201E0719A5340C74A6989D774314052A8FAD76A9A534016116A2B9B743140ED4D0458819A5340AB85694A78743140,14,119,1187,269,7,2,21,25,2,221,1187,0,41,102,4,4,118,0,115,94,60,4258,4560,23799,21,14,9,225,4,
Rama Rao Nagar,0057-06-12 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000005970FDC36F9A5340EE16D4F9E8743140AE9003C0829A5340CD45D7E0D874314078A602B48E9A53404C61312C77753140BF80FB8D789A5340209A5864647531405970FDC36F9A5340EE16D4F9E8743140,14,119,3021,705,514,60,90,137,11,467,2561,460,127,271,6,0,297,4,428,155,122,4070,4772,39061,20,46,28,611,394,
Pandit Nehru Nagar,0058-12-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000207EFE7B309A534044B61C7D06753140A0FCFE49539A5340D92A1C9CE3743140AD8C04225D9A5340CD06152C407531403EFEFB21309A534010A90E5E60753140207EFE7B309A534044B61C7D06753140,14,119,1968,400,395,389,15,6,0,379,1967,1,118,1,1,1,278,1,238,157,5,5331,5938,0,4,1,1,394,29,
Ferozguda,0004-02-10 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000005D5A0518739D534021BC0BCEBF763140AF0BFD1B8D9D5340EF27F8E094763140F1D3FA53919D53402C568118F0763140EEC8FDB38B9D534050BA80D9357731406D43FFE3889D534078472124667731405D5A0518739D534021BC0BCEBF763140,14,121,1109,266,259,5,7,95,2,162,677,432,32,3,0,27,198,6,117,105,44,3174,3168,8,18,19,16,213,44,
NTR Nagar,0043-11-12 00:00:00.68-04:56:02,46:13.5,0106000020E6100000010000000103000000010000000F0000004304FB332C9B5340DD660145F2823140C94AFEED539B53409939B05E3D833140392EFC43679B534098B55E1D11833140E3B800F26D9B53408D7FFA2A54833140EF96FD1D7E9B53407FBDA17412833140351C01A2819B5340CBED033521833140FF3100968D9B534067C5E4CB138331407DAC01C68A9B5340D7A7B9680A833140237A0028929B5340F65EBEEDF08231409259FFDF7F9B534094FEDAD16A8231400444FB37739B5340624A87FB86823140288CFBC9779B53403591A17CA4823140857B02B46F9B53409EB42E3DB38231407CA80228659B53406186AD76A08231404304FB332C9B5340DD660145F2823140,15,125,3034,718,714,157,198,30,13,477,3034,0,101,189,9,34,374,11,214,91,413,3103,3106,9896,19,8,14,677,33,
Uma Devi Nagar,0043-06-07 00:00:00.68-04:56:02,46:39.9,0106000020E610000001000000010300000001000000070000002584FD8D2C9B5340095C0D3FEE82314015E9FA151D9B5340F65EBEEDF0823140C43B02B0289B53409ABD01A0698331400DCC02D4319B53403B90508E5D833140925CFE433A9B5340BC7CA9A7A88331408A8DFD55559B5340554CE7BB428331402584FD8D2C9B5340095C0D3FEE823140,15,125,754,182,129,63,17,26,2,137,713,41,59,1,1,45,75,1,45,5,132,4148,4115,55742,0,3,3,176,46,
Ambedkar Nagar Slum,0046-01-10 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D000000B8ABFCD71E9B5340095C0D3FEE823140AED8FC4B149B5340997938A2F78231408785FF190A9B5340ABB2AD6E0E833140B09103FAED9A5340042117A432833140F564FED1F79A5340F32B6BD58D8331405F3202E8FF9A534040E01ED7C8833140DEFAFA6B039B5340D840E357E68331405E2B04E61F9B534071D09828C6833140857E01182A9B5340F4AFBC16BA83314010D7FF73379B5340704C47E7998331402B4C007A319B5340239893E55E8331401EBCFAA1279B534056D038FD6E833140B8ABFCD71E9B5340095C0D3FEE823140,15,125,1570,376,375,53,18,16,8,334,1570,0,153,4,0,0,219,0,234,142,0,5050,5428,99593,6,23,2,345,36,
NTR Nagar,0045-03-03 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000001469F2FF309D5340A95EC834E47E31408505F7031E9D5340060BCCAF8B7E3140FAFAEFFB169D5340A5B52FC1257E314092E3F32F2E9D53406E9FB890057E31402304F577409D53408FD76AAC507E314066CCF2AF449D5340DF102E0D917E31401469F2FF309D5340A95EC834E47E3140,15,131,849,199,199,25,38,92,3,66,849,0,96,21,0,1,81,0,55,144,0,4209,4426,55884,1,2,2,194,14,
